data	GSV	data	PSV	data	EV	data	WV	data	LV	data	LAZY_FCFS	data	LAZY_PRIORITY
0.601	2.0E-4	0.602	2.0E-4	0.917	2.0E-4	100.0	0.001	0.804	2.0E-4	0.627	2.0E-4	0.827	2.0E-4
0.613	4.0E-4	0.615	4.0E-4	0.971	4.0E-4	100.0	1.0	0.827	4.0E-4	0.64	4.0E-4	0.851	4.0E-4
0.619	5.9999997E-4	0.621	5.9999997E-4	1.002	5.9999997E-4	-1.0	-1.0	0.842	5.9999997E-4	0.649	5.9999997E-4	0.858	5.9999997E-4
0.62	8.0E-4	0.623	8.0E-4	1.01	8.0E-4	-1.0	-1.0	0.851	8.0E-4	0.668	8.0E-4	0.863	8.0E-4
0.623	9.999999E-4	0.632	9.999999E-4	1.023	9.999999E-4	-1.0	-1.0	0.86	9.999999E-4	0.67	9.999999E-4	0.863	9.999999E-4
0.63	0.0011999999	0.632	0.0011999999	1.051	0.0011999999	-1.0	-1.0	0.882	0.0011999999	0.674	0.0011999999	0.896	0.0011999999
0.636	0.0014	0.637	0.0014	1.053	0.0014	-1.0	-1.0	0.921	0.0014	0.681	0.0014	0.913	0.0014
0.637	0.0016	0.649	0.0016	1.058	0.0016	-1.0	-1.0	0.924	0.0016	0.682	0.0016	0.924	0.0016
0.645	0.0018	0.668	0.0018	1.064	0.0018	-1.0	-1.0	0.929	0.0018	0.688	0.0018	0.931	0.0018
0.646	0.0019999999	0.678	0.0019999999	1.072	0.0019999999	-1.0	-1.0	0.936	0.0019999999	0.694	0.0019999999	0.932	0.0019999999
0.649	0.0022	0.69	0.0022	1.073	0.0022	-1.0	-1.0	0.942	0.0022	0.698	0.0022	0.945	0.0022
0.665	0.0023999999	0.691	0.0023999999	1.099	0.0023999999	-1.0	-1.0	0.945	0.0023999999	0.699	0.0023999999	0.978	0.0023999999
0.671	0.0026	0.704	0.0026	1.102	0.0026	-1.0	-1.0	0.946	0.0026	0.712	0.0026	0.979	0.0026
0.688	0.0028	0.705	0.0028	1.103	0.0028	-1.0	-1.0	0.954	0.0028	0.712	0.003	0.979	0.0028
0.694	0.003	0.71	0.003	1.11	0.003	-1.0	-1.0	0.97	0.003	0.723	0.0032	0.985	0.003
0.695	0.0032	0.713	0.0032	1.123	0.0032	-1.0	-1.0	0.972	0.0032	0.725	0.0033999998	1.005	0.0032
0.695	0.0033999998	0.714	0.0033999998	1.127	0.0033999998	-1.0	-1.0	0.979	0.0033999998	0.726	0.0036	1.005	0.0033999998
0.696	0.0036	0.715	0.0036	1.132	0.0036	-1.0	-1.0	0.983	0.0036	0.728	0.0037999998	1.013	0.0036
0.699	0.0037999998	0.719	0.0037999998	1.132	0.0037999998	-1.0	-1.0	1.005	0.0037999998	0.735	0.0039999997	1.019	0.0037999998
0.708	0.0039999997	0.719	0.0039999997	1.133	0.0039999997	-1.0	-1.0	1.007	0.0039999997	0.738	0.0042	1.02	0.0039999997
0.712	0.0042	0.723	0.0042	1.138	0.0042	-1.0	-1.0	1.01	0.0042	0.742	0.0044	1.023	0.0042
0.712	0.0044	0.726	0.0044	1.139	0.0044	-1.0	-1.0	1.012	0.0044	0.744	0.0046	1.025	0.0044
0.717	0.0046	0.727	0.0046	1.142	0.0046	-1.0	-1.0	1.013	0.0046	0.745	0.0047999998	1.027	0.0046
0.722	0.0047999998	0.73	0.0047999998	1.145	0.0047999998	-1.0	-1.0	1.013	0.0047999998	0.745	0.005	1.037	0.0047999998
0.722	0.005	0.734	0.005	1.145	0.005	-1.0	-1.0	1.019	0.005	0.753	0.0052	1.039	0.005
0.727	0.0052	0.735	0.0052	1.154	0.0052	-1.0	-1.0	1.019	0.0052	0.762	0.0053999997	1.04	0.0052
0.73	0.0053999997	0.735	0.0053999997	1.154	0.0053999997	-1.0	-1.0	1.02	0.0053999997	0.764	0.0056	1.051	0.0053999997
0.732	0.0056	0.74	0.0056	1.156	0.0056	-1.0	-1.0	1.025	0.0056	0.764	0.0058	1.055	0.0056
0.734	0.0058	0.741	0.0058	1.169	0.0058	-1.0	-1.0	1.029	0.0058	0.766	0.006	1.061	0.0058
0.737	0.006	0.744	0.006	1.171	0.006	-1.0	-1.0	1.037	0.006	0.77	0.0061999997	1.065	0.006
0.737	0.0061999997	0.747	0.0061999997	1.175	0.0061999997	-1.0	-1.0	1.037	0.0061999997	0.771	0.0064	1.074	0.0061999997
0.739	0.0064	0.752	0.0064	1.175	0.0064	-1.0	-1.0	1.039	0.0064	0.772	0.0066	1.075	0.0064
0.741	0.0066	0.752	0.0066	1.183	0.0066	-1.0	-1.0	1.043	0.0066	0.773	0.0067999996	1.079	0.0066
